Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,null,null,null,0.000000,0.000000,null
2016-01-05,null,null,null,0.000000,0.000000,null
2016-01-06,null,null,null,0.000000,0.000000,null
2016-01-07,null,null,null,0.000000,0.000000,null
2016-01-08,null,null,null,0.000000,0.000000,null
2016-01-11,null,null,null,0.000000,0.000000,null
2016-01-12,null,null,null,0.000000,0.000000,null
2016-01-13,null,null,null,0.000000,0.000000,null
2016-01-14,null,null,null,0.000000,0.000000,null
2016-01-15,null,null,null,0.000000,0.000000,null
2016-01-18,null,null,null,0.000000,0.000000,null
2016-01-19,null,null,null,0.000000,0.000000,null
2016-01-20,null,null,null,0.000000,0.000000,null
2016-01-21,null,null,null,0.000000,0.000000,null
2016-01-22,null,null,null,0.000000,0.000000,null
2016-01-25,null,null,null,0.000000,0.000000,null
2016-01-26,null,null,null,0.000000,0.000000,null
2016-01-27,null,null,null,0.000000,0.000000,null
2016-01-28,null,null,null,0.000000,0.000000,null
2016-01-29,null,null,null,0.000000,0.000000,null
2016-02-01,null,null,null,0.000000,0.000000,null
2016-02-02,null,null,null,0.000000,0.000000,null
2016-02-03,null,null,null,0.000000,0.000000,null
2016-02-04,null,null,null,0.000000,0.000000,null
2016-02-05,null,null,null,0.000000,0.000000,null
2016-02-15,null,null,null,0.000000,0.000000,null
2016-02-16,null,null,null,0.000000,0.000000,null
2016-02-17,null,null,null,0.000000,0.000000,null
2016-02-18,null,null,null,0.000000,0.000000,null
2016-02-19,null,null,null,0.000000,0.000000,null
2016-02-22,null,null,null,0.000000,0.000000,null
2016-02-23,null,null,null,0.000000,0.000000,null
2016-02-24,null,null,null,0.000000,0.000000,null
2016-02-25,null,null,null,0.000000,0.000000,null
2016-02-26,null,null,null,0.000000,0.000000,null
2016-02-29,null,null,null,0.000000,0.000000,null
2016-03-01,null,null,null,0.000000,0.000000,null
2016-03-02,null,null,null,0.000000,0.000000,null
2016-03-03,null,null,null,0.000000,0.000000,null
2016-03-04,null,null,null,0.000000,0.000000,null
2016-03-07,null,null,null,0.000000,0.000000,null
2016-03-08,null,null,null,0.000000,0.000000,null
2016-03-09,null,null,null,0.000000,0.000000,null
2016-03-10,null,null,null,0.000000,0.000000,null
2016-03-11,null,null,null,0.000000,0.000000,null
2016-03-14,null,null,null,0.000000,0.000000,null
2016-03-15,null,null,null,0.000000,0.000000,null
2016-03-16,null,null,null,0.000000,0.000000,null
2016-03-17,null,null,null,0.000000,0.000000,null
2016-03-18,null,null,null,0.000000,0.000000,null
2016-03-21,null,null,null,0.000000,0.000000,null
2016-03-22,null,null,null,0.000000,0.000000,null
2016-03-23,null,null,null,0.000000,0.000000,null
2016-03-24,null,null,null,0.000000,0.000000,null
2016-03-25,null,null,null,0.000000,0.000000,null
2016-03-28,null,null,null,0.000000,0.000000,null
2016-03-29,null,null,null,0.000000,0.000000,null
2016-03-30,null,null,null,0.000000,0.000000,null
2016-03-31,null,null,null,0.000000,0.000000,null
2016-04-01,null,null,null,0.000000,0.000000,null
2016-04-05,null,null,null,0.000000,0.000000,null
2016-04-06,null,null,null,0.000000,0.000000,null
2016-04-07,null,null,null,0.000000,0.000000,null
2016-04-08,null,null,null,0.000000,0.000000,null
2016-04-11,null,null,null,0.000000,0.000000,null
2016-04-12,null,null,null,0.000000,0.000000,null
2016-04-13,null,null,null,0.000000,0.000000,null
2016-04-14,null,null,null,0.000000,0.000000,null
2016-04-15,null,null,null,0.000000,0.000000,null
2016-04-18,null,null,null,0.000000,0.000000,null
2016-04-19,null,null,null,0.000000,0.000000,null
2016-04-20,null,null,null,0.000000,0.000000,null
2016-04-21,null,null,null,0.000000,0.000000,null
2016-04-22,null,null,null,0.000000,0.000000,null
2016-04-25,null,null,null,0.000000,0.000000,null
2016-04-26,null,null,null,0.000000,0.000000,null
2016-04-27,null,null,null,0.000000,0.000000,null
2016-04-28,null,null,null,0.000000,0.000000,null
2016-04-29,null,null,null,0.000000,0.000000,null
2016-05-03,null,null,null,0.000000,0.000000,null
2016-05-04,null,null,null,0.000000,0.000000,null
2016-05-05,null,null,null,0.000000,0.000000,null
2016-05-06,null,null,null,0.000000,0.000000,null
2016-05-09,null,null,null,0.000000,0.000000,null
2016-05-10,null,null,null,0.000000,0.000000,null
2016-05-11,null,null,null,0.000000,0.000000,null
2016-05-12,null,null,null,0.000000,0.000000,null
2016-05-13,null,null,null,0.000000,0.000000,null
2016-05-16,null,null,null,0.000000,0.000000,null
2016-05-17,null,null,null,0.000000,0.000000,null
2016-05-18,28.000000,30.030001,26.660000,28.760000,28.667404,69607241
2016-05-19,28.100000,29.260000,27.850000,28.129999,28.039433,37467176
2016-05-20,27.590000,27.680000,26.780001,27.410000,27.321751,29558143
2016-05-23,27.500000,28.270000,27.400000,27.930000,27.840076,23932292
2016-05-24,28.160000,29.170000,28.150000,28.580000,28.487984,35134104
2016-05-25,28.969999,29.000000,27.950001,27.990000,27.899883,26971723
2016-05-26,27.680000,28.250000,27.000000,27.840000,27.750366,22543829
2016-05-27,27.879999,28.180000,27.520000,27.570000,27.481236,15051386
2016-05-30,27.219999,27.299999,26.709999,26.879999,26.793457,17024724
2016-05-31,27.110001,29.260000,27.110001,29.030001,28.936535,41050283
2016-06-01,29.059999,29.860001,29.059999,29.360001,29.265472,43255580
2016-06-02,29.219999,29.580000,29.000000,29.469999,29.375118,27318855
2016-06-03,29.559999,32.200001,29.559999,31.010000,30.910160,64923880
2016-06-06,34.099998,34.110001,32.330002,32.990002,32.883785,77228814
2016-06-07,33.000000,33.080002,31.730000,32.200001,32.096329,47986363
2016-06-08,32.259998,34.560001,31.620001,33.970001,33.860630,71132256
2016-06-13,33.970001,34.570000,31.330000,31.400000,31.298904,65391615
2016-06-14,31.590000,32.450001,30.280001,31.200001,31.099548,44111506
2016-06-15,30.900000,33.279999,30.600000,33.080002,32.973495,47470493
2016-06-16,32.799999,33.369999,32.430000,32.990002,32.883785,32913999
2016-06-17,33.349998,33.750000,32.150002,32.430000,32.325588,33910815
2016-06-20,32.150002,32.419998,31.270000,31.980000,31.877037,26810789
2016-06-21,32.119999,32.950001,31.200001,31.480000,31.378647,29349858
2016-06-22,31.370001,32.380001,31.020000,32.380001,32.275749,23953749
2016-06-23,32.330002,32.340000,31.480000,32.009998,31.906939,24283419
2016-06-24,32.169998,32.580002,30.330000,31.309999,31.209194,37180647
2016-06-27,31.100000,32.139999,31.010000,31.980000,31.877037,26247567
2016-06-28,31.719999,33.270000,31.629999,32.790001,32.684429,42838151
